Item LC 116;Descrição Item;NBS;DESCRIÇÃO NBS;PS ONEROSA? (S/N);ADQ EXTERIOR? (S/N);INDOP;Local incidência IBS;cClassTrib;nome cClassTrib;;
;;1.2602.20.00;Serviços de manicure, pedicure e tratamento cosmético ;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
06.02;Esteticistas, Tratamento De Pele, Depilação E Congêneres.;1.2602.20.00;Serviços de manicure, pedicure e tratamento cosmético ;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2602.30.00;Serviços de bem-estar físico ;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2602.90.00;Serviços de tratamento de beleza e bem-estar físico não classificados em subposições anteriores;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
06.03;Banhos, Duchas, Sauna, Massagens E Congêneres.;1.2602.30.00;Serviços de bem-estar físico ;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
06.04;Ginástica, Dança, Esportes, Natação, Artes Marciais E Demais Atividades Físicas.;1.2205.12.00;Serviços de educação desportiva e recreacional ;;;030101;local da prestação;200041;Fornecimento de serviço de educação desportiva (art. 141. I);;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2505.90.00;Serviços desportivos e recreacionais desportivos não classificados em subposições anteriores;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
06.05;Centros De Emagrecimento, Spa E Congêneres.;1.2602.30.00;Serviços de bem-estar físico ;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2602.90.00;Serviços de tratamento de beleza e bem-estar físico não classificados em subposições anteriores;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
06.06;Aplicação De Tatuagens, Piercings E Congêneres.;1.2602.90.00;Serviços de tratamento de beleza e bem-estar físico não classificados em subposições anteriores;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
07.01;Engenharia, Agronomia, Agrimensura, Arquitetura, Geologia, Urbanismo, Paisagismo E Congêneres.;1.1402.11.00;Serviços de consultoria em arquitetura ;S;N;100301;Domicílio principal do adquirente;200052;Prestação de serviços de profissões intelectuais;;
;;1.1402.12.00;Serviços de arquitetura para projetos de construções residenciais;;;;;;;;
;;1.1402.13.00;Serviços de arquitetura para projetos de construções não residenciais  ;;;;;;;;
;;1.1402.14.00;Serviços de arquitetura para restauração de prédios históricos;;;;;;;;
;;1.1402.21.00;Serviços de planejamento urbano ;;;;;;;;
;;1.1402.22.00;Serviços de planejamento de áreas rurais ;;;;;;;;
;;1.1402.31.00;Serviços de consultoria em paisagismo;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1402.32.00;Serviços de paisagismo, exceto consultoria;;;;;;;;
;;1.1402.90.00;Serviços de arquitetura, de planejamento urbano e de áreas rurais e de paisagismo não classificados em subposições anteriores;;;;;200052;Prestação de serviços de profissões intelectuais;;
;;1.1403.10.00;Serviços de consultoria em engenharia;;;;;200038;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);;
;;1.1403.21.10;Serviços de engenharia para projetos de construção residencial;;;;;200052;Prestação de serviços de profissões intelectuais;;
;;1.1403.21.20;Serviços de engenharia para projetos de construção não residencial;;;;;;;;
;;1.1403.22.11;Serviços de engenharia para projetos de exploração de minerais;;;;;;;;
;;1.1403.22.12;Serviços de engenharia para projetos de exploração de petróleo e gás;;;;;;;;
;;1.1403.22.13;Serviços de engenharia para projetos de refino de petróleo e petroquímica;;;;;;;;
;;1.1403.22.14;Serviços de engenharia para projetos de unidades de produção de biocombustíveis;;;;;;;;
;;1.1403.22.21;Serviços de engenharia para projetos de veículos terrestres;;;;;;;;
;;1.1403.22.22;Serviços de engenharia para projetos de embarcações;;;;;;;;
;;1.1403.22.23;Serviços de engenharia para projetos de veículos aéreos e aeroespaciais;;;;;;;;
;;1.1403.22.90;Serviços de engenharia para outros projetos industriais e de fabricação, exceto para projetos de energia;;;;;;;;
;;1.1403.23.00;Serviços de engenharia para projetos de infraestrutura de transportes;;;;;;;;
;;1.1403.24.00;Serviços de engenharia para projetos de energia;;;;;;;;
;;1.1403.25.00;Serviços de engenharia para projetos de telecomunicações, radiodifusão e televisão;;;;;;;;
;;1.1403.26.00;Serviços de engenharia para projetos de gerenciamento de resíduos (perigosos e não perigosos);;;;;;;;
;;1.1403.27.00;Serviços de engenharia para projetos de distribuição de água e rede de esgoto;;;;;;;;
;;1.1403.29.00;Serviços de engenharia para outros projetos ;;;;;200038;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);;
;;1.1403.30.00;Serviços de gerenciamento de projetos de construção ;;;;;200052;Prestação de serviços de profissões intelectuais;;
;;1.1403.90.00;Serviços de engenharia não classificados em subposições anteriores;;;;;;;;
;;1.1404.11.00;Serviços de consultoria geológica e geofísica;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1404.12.00;Serviços geofísicos;;;;;;;;
;;1.1404.13.00;Serviços geoquímicos;;;;;;;;
;;1.1404.14.00;Serviços de informações para avaliação e exploração de recursos naturais;;;;;;;;
;;1.1404.19.00;Serviços geológicos, geofísicos e outros de prospecção não classificados em subposições anteriores;;;;;;;;
07.02;Execução, Por Administração, Empreitada Ou Subempreitada, De Obras De Construção Civil, Hidráulica Ou Elétrica E De Outras Obras Semelhantes, Inclusive Sondagem, Perfuração De Poços, Escavação, Drenagem E Irrigação, Terraplanagem, Pavimentação, Concretagem E A Instalação E Montagem De Produtos, Peças E Equipamentos (Exceto O Fornecimento De Mercadorias Produzidas Pelo Prestador De Serviços Fora Do Local Da Prestação Dos Serviços, Que Fica Sujeito Ao ICMS).;1.0101.11.00;Serviços de construção de edificações residenciais de um e dois pavimentos;;;20201;local do imóvel;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.12.00;Serviços de construção de edificações residenciais com mais de dois pavimentos;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.21.00;Serviços de construção de edificações industriais ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.22.00;Serviços de construção de edificações comerciais;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.29.00;Serviços de construção de edificações não residenciais não classificados em subposições anteriores;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.30.00;Serviços de construção de edificações de uso misto (residencial e não residencial);;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.11.00;Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.12.00;Serviços de construção de ferrovias;;;;;200046;Operações com bens imóveis;;
;;1.0102.13.00;Serviços de construção de pistas de pouso e decolagem em aeroportos e de infraestrutura aeroportuária;;;;;200046;Operações com bens imóveis;;
;;1.0102.20.00;Serviços de construção de pontes, autoestradas elevadas e túneis;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.31.00;Serviços de construção de infraestrutura de proteção e acesso aquaviário ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.32.00;Serviços de construção de infraestrutura de acostagem aquaviária;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.33.00;Serviços de construção de infraestrutura terrestre e de obras de engenharia afins nos portos;;;;;200046;Operações com bens imóveis;;
;;1.0102.34.00;Serviços de construção de barragens;;;;;200046;Operações com bens imóveis;;
;;1.0102.35.10;Serviços de construção de adutoras em conduto livre;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.35.20;Serviços de construção de sistemas de irrigação   ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;;;;;;;200038;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);;
;;1.0102.35.30;Serviços de construção relacionada ao controle dos cursos de água, inclusive canalização ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.41.10;Serviços de construção de dutos de longo curso para o transporte de petróleo, seus derivados, e gás;;;;;200046;Operações com bens imóveis;;
;;1.0102.41.20;Serviços de construção de dutos de longo curso para o transporte e escoamento de águas;;;;;;;;
;;1.0102.41.90;Serviços de construção de dutos de longo curso não classificados em subposições anteriores;;;;;;;;
;;1.0102.42.10;Serviços de construção de linhas de comunicação de longo curso ;;;;;;;;
;;1.0102.42.20;Serviços de construção de linhas de transmissão de alta tensão;;;;;;;;
;;1.0102.51.00;Serviços de construção de dutos locais;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.52.10;Serviços de construção de linhas locais de comunicação;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.52.20;Serviços de construção de linhas locais de transmissão de baixa e média tensão ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.53.10;Serviços de construção de sistemas de esgotos;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.53.20;Serviços de construção de sistemas de estações para elevação, tratamento e purificação de água;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.61.00;Serviços de construção de usinas de geração de energia;;;;;200046;Operações com bens imóveis;;
;;1.0102.69.00;Serviços de construção de instalações industriais não classificados em subposições anteriores;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.70.00;Serviços de construção de minas e suas unidades industriais;;;;;200046;Operações com bens imóveis;;
;;1.0102.80.00;Serviços de construção de instalações para recreação e atividades desportivas ao ar livre;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.90.00;Serviços de construção de obras de engenharia civil não classificados em subposições anteriores;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0103.20.00;Serviços de preparação de terrenos e de canteiros de obras;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0103.30.00;Serviços de escavação e remoção de terra;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0103.41.00;Serviços de perfuração de poços de água;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0103.42.00;Serviços de instalação de sistemas sépticos;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0104.00.00;Serviços de montagem e de edificação de construções pré-fabricadas;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0105.11.00;Serviços de estaqueamento;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0105.12.00;Serviços de fundação;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0105.21.00;Serviços de construção de estruturas de edificações;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0105.22.00;Serviços de construção de estruturas de telhados e coberturas;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0105.30.00;Serviços de construção de telhados e coberturas e serviços de impermeabilização;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0105.40.00;Serviços de concretagem;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0105.50.00;Serviços de montagem de estruturas de aço;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0105.60.00;Serviços de alvenaria;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0105.90.00;Serviços especializados de construção não classificados em subposições anteriores;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0106.11.00;Serviços de instalação de fiação elétrica e componentes ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0106.19.00;Serviços de instalação elétrica não classificados em subposições anteriores;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0106.21.00;Serviços de instalação de tubulação para fornecimento de água;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0106.22.00;Serviços de instalação de tubulação para escoamento de água;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0106.60.00;Serviços de instalação de elevadores, esteiras e escadas rolantes;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0107.30.00;Serviços de pintura;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0107.40.00;Serviços de revestimento de pisos e de paredes;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0106.32.00;Serviços de instalação de equipamentos de ventilação e de ar condicionado;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0106.40.00;Serviços de instalação de gás;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.03;"Elaboração De Planos Diretores, Estudos De Viabilidade, Estudos Organizacionais E Outros, Relacionados Com Obras E Serviços De Engenharia; Elaboração De Anteprojetos, Projetos Básicos E Projetos Executivos Para Trabalhos De Engenharia.";1.1402.11.00;Serviços de consultoria em arquitetura ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1403.10.00;Serviços de consultoria em engenharia;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1402.21.00;Serviços de planejamento urbano ;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1402.22.00;Serviços de planejamento de áreas rurais ;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
07.04;Demolição.;1.0103.10.00;Serviços de demolição;;;20201;local do imóvel;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.05;Reparação, Conservação E Reforma De Edifícios, Estradas, Pontes, Portos E Congêneres (Exceto O Fornecimento De Mercadorias Produzidas Pelo Prestador Dos Serviços, Fora Do Local Da Prestação Dos Serviços, Que Fica Sujeito Ao ICMS).;1.0101.11.00;Serviços de construção de edificações residenciais de um e dois pavimentos;;;20201;local do imóvel;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.12.00;Serviços de construção de edificações residenciais com mais de dois pavimentos;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.21.00;Serviços de construção de edificações industriais ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.22.00;Serviços de construção de edificações comerciais;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.29.00;Serviços de construção de edificações não residenciais não classificados em subposições anteriores;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0101.30.00;Serviços de construção de edificações de uso misto (residencial e não residencial);;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.11.00;Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.12.00;Serviços de construção de ferrovias;;;;;200046;Operações com bens imóveis;;
;;1.0102.13.00;Serviços de construção de pistas de pouso e decolagem em aeroportos e de infraestrutura aeroportuária;;;;;200046;Operações com bens imóveis;;
;;1.0102.20.00;Serviços de construção de pontes, autoestradas elevadas e túneis;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.31.00;Serviços de construção de infraestrutura de proteção e acesso aquaviário ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.32.00;Serviços de construção de infraestrutura de acostagem aquaviária;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.33.00;Serviços de construção de infraestrutura terrestre e de obras de engenharia afins nos portos;;;;;200046;Operações com bens imóveis;;
;;1.0102.34.00;Serviços de construção de barragens;;;;;200046;Operações com bens imóveis;;
;;1.0102.35.10;Serviços de construção de adutoras em conduto livre;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.35.20;Serviços de construção de sistemas de irrigação   ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;;;;;;;200038;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);;
;;1.0102.35.30;Serviços de construção relacionada ao controle dos cursos de água, inclusive canalização ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.41.10;Serviços de construção de dutos de longo curso para o transporte de petróleo, seus derivados, e gás;;;;;200046;Operações com bens imóveis;;
;;1.0102.41.20;Serviços de construção de dutos de longo curso para o transporte e escoamento de águas;;;;;200046;Operações com bens imóveis;;
;;1.0102.41.90;Serviços de construção de dutos de longo curso não classificados em subposições anteriores;;;;;200046;Operações com bens imóveis;;
;;1.0102.42.10;Serviços de construção de linhas de comunicação de longo curso ;;;;;200046;Operações com bens imóveis;;
;;1.0102.42.20;Serviços de construção de linhas de transmissão de alta tensão;;;;;200046;Operações com bens imóveis;;
;;1.0102.51.00;Serviços de construção de dutos locais;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.52.10;Serviços de construção de linhas locais de comunicação;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.52.20;Serviços de construção de linhas locais de transmissão de baixa e média tensão ;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.53.10;Serviços de construção de sistemas de esgotos;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.53.20;Serviços de construção de sistemas de estações para elevação, tratamento e purificação de água;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.61.00;Serviços de construção de usinas de geração de energia;;;;;200046;Operações com bens imóveis;;
;;1.0102.69.00;Serviços de construção de instalações industriais não classificados em subposições anteriores;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.70.00;Serviços de construção de minas e suas unidades industriais;;;;;200046;Operações com bens imóveis;;
;;1.0102.80.00;Serviços de construção de instalações para recreação e atividades desportivas ao ar livre;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0102.90.00;Serviços de construção de obras de engenharia civil não classificados em subposições anteriores;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0107.30.00;Serviços de pintura;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.06;Colocação E Instalação De Tapetes, Carpetes, Assoalhos, Cortinas, Revestimentos De Parede, Vidros, Divisórias, Placas De Gesso E Congêneres, Com Material Fornecido Pelo Tomador Do Serviço.;1.0106.50.00;Serviços de instalação de isolamentos;;;20201;local do imóvel;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0107.10.00;Serviços de vidraçaria;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0107.20.00;Serviços de gesso e de estuque;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.0107.40.00;Serviços de revestimento de pisos e de paredes;;;;;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.07;Recuperação, Raspagem, Polimento E Lustração De Pisos E Congêneres.;1.0107.40.00;Serviços de revestimento de pisos e de paredes;;;20201;local do imóvel;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.08;Calafetação.;1.0107.90.00;Serviços de acabamento não classificados em subposições anteriores;;;20201;local do imóvel;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
