CÓDIGO DE TRIBUTAÇÃO NACIONAL;ITEM;SUBITEM;DESDOBRO NACIONAL;DESCRIÇÃO
050701;05;07;01;Unidade de atendimento, assistência ou tratamento móvel e congêneres.
;05;08;00;Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.
050801;05;08;01;Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.
;05;09;00;Planos de atendimento e assistência médico-veterinária.
050901;05;09;01;Planos de atendimento e assistência médico-veterinária.
;06;00;00;Serviços de cuidados pessoais, estética, atividades físicas e congêneres.
;06;01;00;Barbearia, cabeleireiros, manicuros, pedicuros e congêneres.
060101;06;01;01;Barbearia, cabeleireiros, manicuros, pedicuros e congêneres.
;06;02;00;Esteticistas, tratamento de pele, depilação e congêneres.
060201;06;02;01;Esteticistas, tratamento de pele, depilação e congêneres.
;06;03;00;Banhos, duchas, sauna, massagens e congêneres.
060301;06;03;01;Banhos, duchas, sauna, massagens e congêneres.
;06;04;00;Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.
060401;06;04;01;Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.
;06;05;00;Centros de emagrecimento, spa e congêneres.
060501;06;05;01;Centros de emagrecimento, spa e congêneres.
;06;06;00;Aplicação de tatuagens, piercings e congêneres.
060601;06;06;01;Aplicação de tatuagens, piercings e congêneres.
;07;00;00;Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.
;07;01;00;Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres.
070101;07;01;01;Engenharia e congêneres.
070102;07;01;02;Agronomia e congêneres.
070103;07;01;03;Agrimensura e congêneres.
070104;07;01;04;Arquitetura, urbanismo e congêneres.
070105;07;01;05;Geologia e congêneres.
070106;07;01;06;Paisagismo e congêneres.
;07;02;00;Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).
070201;07;02;01;Execução, por administração, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).
070202;07;02;02;Execução, por empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).
;07;03;00;"Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia."
070301;07;03;01;Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia.
070302;07;03;02;Elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia.
;07;04;00;Demolição.
070401;07;04;01;Demolição.
;07;05;00;Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).
070501;07;05;01;Reparação, conservação e reforma de edifícios e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).
070502;07;05;02;Reparação, conservação e reforma de estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).
;07;06;00;Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.
070601;07;06;01;Colocação e instalação de tapetes, carpetes, cortinas e congêneres, com material fornecido pelo tomador do serviço.
070602;07;06;02;Colocação e instalação de assoalhos, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.
;07;07;00;Recuperação, raspagem, polimento e lustração de pisos e congêneres.
070701;07;07;01;Recuperação, raspagem, polimento e lustração de pisos e congêneres.
;07;08;00;Calafetação.
070801;07;08;01;Calafetação.
;07;09;00;Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.
070901;07;09;01;Varrição, coleta e remoção de lixo, rejeitos e outros resíduos quaisquer.
070902;07;09;02;Incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.
;07;10;00;Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres.
071001;07;10;01;Limpeza, manutenção e conservação de vias e logradouros públicos, parques, jardins e congêneres.
071002;07;10;02;Limpeza, manutenção e conservação de imóveis, chaminés, piscinas e congêneres.
;07;11;00;Decoração e jardinagem, inclusive corte e poda de árvores.
071101;07;11;01;Decoração.
071102;07;11;02;Jardinagem, inclusive corte e poda de árvores.
;07;12;00;Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos.
071201;07;12;01;Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos.
;07;13;00;Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.
071301;07;13;01;Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.
;07;16;00;Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.
071601;07;16;01;Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.
;07;17;00;Escoramento, contenção de encostas e serviços congêneres.
071701;07;17;01;Escoramento, contenção de encostas e serviços congêneres.
;07;18;00;Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres.
071801;07;18;01;Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres.
;07;19;00;Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo.
071901;07;19;01;Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo.
;07;20;00;Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres.
072001;07;20;01;Aerofotogrametria (inclusive interpretação), cartografia, mapeamento e congêneres.
072002;07;20;02;Levantamentos batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres.
072003;07;20;03;Levantamentos topográficos e congêneres.
;07;21;00;Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais.
072101;07;21;01;Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais.
;07;22;00;Nucleação e bombardeamento de nuvens e congêneres.
072201;07;22;01;Nucleação e bombardeamento de nuvens e congêneres.
;08;00;00;Serviços de educação, ensino, orientação pedagógica e educacional, instrução, treinamento e avaliação pessoal de qualquer grau ou natureza.
;08;01;00;Ensino regular pré-escolar, fundamental, médio e superior.
080101;08;01;01;Ensino regular pré-escolar, fundamental e médio.
080102;08;01;02;Ensino regular superior.
;08;02;00;Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.
080201;08;02;01;Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.
;09;00;00;Serviços relativos a hospedagem, turismo, viagens e congêneres.
;09;01;00;"Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
090101;09;01;01;Hospedagem em hotéis, hotelaria marítima e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).
090102;09;01;02;Hospedagem em pensões, albergues, pousadas, hospedarias, ocupação por temporada com fornecimento de serviços e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).
090103;09;01;03;Hospedagem em motéis e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).
090104;09;01;04;Hospedagem em apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).
;09;02;00;Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.
090201;09;02;01;Agenciamento e intermediação de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.
090202;09;02;02;Organização, promoção e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.
;09;03;00;Guias de turismo.
090301;09;03;01;Guias de turismo.
;10;00;00;Serviços de intermediação e congêneres.
;10;01;00;Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.
100101;10;01;01;Agenciamento, corretagem ou intermediação de câmbio.
100102;10;01;02;Agenciamento, corretagem ou intermediação de seguros.
100103;10;01;03;Agenciamento, corretagem ou intermediação de cartões de crédito.
100104;10;01;04;Agenciamento, corretagem ou intermediação de planos de saúde.
100105;10;01;05;Agenciamento, corretagem ou intermediação de planos de previdência privada.
;10;02;00;Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.
100201;10;02;01;Agenciamento, corretagem ou intermediação de títulos em geral e valores mobiliários.
100202;10;02;02;Agenciamento, corretagem ou intermediação de contratos quaisquer.
;10;03;00;Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.
100301;10;03;01;Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.
;10;04;00;Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).
100401;10;04;01;Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing).
100402;10;04;02;Agenciamento, corretagem ou intermediação de contratos de franquia (franchising).
100403;10;04;03;Agenciamento, corretagem ou intermediação de faturização (factoring).
;10;05;00;Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.
100501;10;05;01;Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, por quaisquer meios.
100502;10;05;02;Agenciamento, corretagem ou intermediação de bens móveis ou imóveis realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.
;10;06;00;Agenciamento marítimo.
100601;10;06;01;Agenciamento marítimo.
;10;07;00;Agenciamento de notícias.
100701;10;07;01;Agenciamento de notícias.
;10;08;00;Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.
100801;10;08;01;Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.
;10;09;00;Representação de qualquer natureza, inclusive comercial.
100901;10;09;01;Representação de qualquer natureza, inclusive comercial.
;10;10;00;Distribuição de bens de terceiros.
101001;10;10;01;Distribuição de bens de terceiros.
;11;00;00;Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.
;11;01;00;Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.
110101;11;01;01;Guarda e estacionamento de veículos terrestres automotores.
110102;11;01;02;Guarda e estacionamento de aeronaves e de embarcações.
;11;02;00;Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.
110201;11;02;01;Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.
;11;03;00;Escolta, inclusive de veículos e cargas.
110301;11;03;01;Escolta, inclusive de veículos e cargas.
;11;04;00;Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.
110401;11;04;01;Armazenamento, depósito, guarda de bens de qualquer espécie.
110402;11;04;02;Carga, descarga, arrumação de bens de qualquer espécie.
;11;05;00;Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de Tecnologia da Informação Veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza.
110501;11;05;01;Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de Tecnologia da Informação Veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza.  
;12;00;00;Serviços de diversões, lazer, entretenimento e congêneres.
;12;01;00;Espetáculos teatrais.
120101;12;01;01;Espetáculos teatrais.
;12;02;00;Exibições cinematográficas.
120201;12;02;01;Exibições cinematográficas.
;12;03;00;Espetáculos circenses.
120301;12;03;01;Espetáculos circenses.
;12;04;00;Programas de auditório.
120401;12;04;01;Programas de auditório.
;12;05;00;Parques de diversões, centros de lazer e congêneres.
120501;12;05;01;Parques de diversões, centros de lazer e congêneres.
;12;06;00;Boates, taxi-dancing e congêneres.
120601;12;06;01;Boates, taxi-dancing e congêneres.
;12;07;00;Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.
120701;12;07;01;Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.
;12;08;00;Feiras, exposições, congressos e congêneres.
120801;12;08;01;Feiras, exposições, congressos e congêneres.
;12;09;00;Bilhares, boliches e diversões eletrônicas ou não.
120901;12;09;01;Bilhares.
120902;12;09;02;Boliches.
120903;12;09;03;Diversões eletrônicas ou não.
;12;10;00;Corridas e competições de animais.
121001;12;10;01;Corridas e competições de animais.
;12;11;00;Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.
121101;12;11;01;Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.
;12;12;00;Execução de música.
121201;12;12;01;Execução de música.
;12;13;00;Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.
121301;12;13;01;Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.
;12;14;00;Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.
121401;12;14;01;Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.
;12;15;00;Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.
121501;12;15;01;Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.
;12;16;00;Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.
121601;12;16;01;Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.
;12;17;00;Recreação e animação, inclusive em festas e eventos de qualquer natureza.
121701;12;17;01;Recreação e animação, inclusive em festas e eventos de qualquer natureza.
;13;00;00;Serviços relativos a fonografia, fotografia, cinematografia e reprografia.
;13;02;00;Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.
130201;13;02;01;Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.
;13;03;00;Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.
130301;13;03;01;Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.
;13;04;00;Reprografia, microfilmagem e digitalização.
130401;13;04;01;Reprografia, microfilmagem e digitalização.
;13;05;00;Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.
130501;13;05;01;Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.
;14;00;00;Serviços relativos a bens de terceiros.
;14;01;00;Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).
140101;14;01;01;Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).
;14;02;00;Assistência técnica.
140201;14;02;01;Assistência técnica.
;14;03;00;Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).
140301;14;03;01;Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).
;14;04;00;Recauchutagem ou regeneração de pneus.
140401;14;04;01;Recauchutagem ou regeneração de pneus.
;14;05;00;Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer.
140501;14;05;01;Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer.
